'time_shown=1700808651.0142403', 'L RGB=(228, 184, 82)', 'R RGB=(242, 195, 87)', 'L lightness=155.00000000000003', 'R lightness=164.49999999999997', 'selected_rect=R', 'time_solved=1700808652.6053975', 'spent=1.5911571979522705', 'result=Win', 'delta lightness abs=9.499999999999943'
'time_shown=1700808652.6335049', 'L RGB=(84, 35, 192)', 'R RGB=(147, 63, 195)', 'L lightness=113.5', 'R lightness=129.0', 'selected_rect=R', 'time_solved=1700808653.7575357', 'spent=1.1240308284759521', 'result=Win', 'delta lightness abs=15.5'
'time_shown=1700808653.791327', 'L RGB=(206, 230, 201)', 'R RGB=(206, 225, 232)', 'L lightness=215.5', 'R lightness=219.00000000000003', 'selected_rect=L', 'time_solved=1700808659.363959', 'spent=5.572632074356079', 'result=Loss', 'delta lightness abs=3.5000000000000284'
'time_shown=1700808659.3896472', 'L RGB=(219, 80, 47)', 'R RGB=(191, 52, 22)', 'L lightness=132.99999999999997', 'R lightness=106.5', 'selected_rect=L', 'time_solved=1700808661.7045305', 'spent=2.314883232116699', 'result=Win', 'delta lightness abs=26.49999999999997'
'time_shown=1700808661.7329385', 'L RGB=(202, 208, 55)', 'R RGB=(202, 236, 63)', 'L lightness=131.5', 'R lightness=149.5', 'selected_rect=R', 'time_solved=1700808662.8771718', 'spent=1.144233226776123', 'result=Win', 'delta lightness abs=18.0'
'time_shown=1700808662.9091043', 'L RGB=(210, 86, 155)', 'R RGB=(248, 82, 124)', 'L lightness=147.99999999999997', 'R lightness=165.0', 'selected_rect=R', 'time_solved=1700808665.6841183', 'spent=2.7750139236450195', 'result=Win', 'delta lightness abs=17.00000000000003'
'time_shown=1700808665.7292914', 'L RGB=(232, 198, 152)', 'R RGB=(251, 251, 194)', 'L lightness=192.0', 'R lightness=222.5', 'selected_rect=R', 'time_solved=1700808666.914121', 'spent=1.1848294734954834', 'result=Win', 'delta lightness abs=30.5'
'time_shown=1700808666.939466', 'L RGB=(77, 159, 34)', 'R RGB=(65, 145, 25)', 'L lightness=96.5', 'R lightness=85.0', 'selected_rect=R', 'time_solved=1700808667.8234472', 'spent=0.8839812278747559', 'result=Loss', 'delta lightness abs=11.5'
'time_shown=1700808667.8488786', 'L RGB=(241, 10, 41)', 'R RGB=(252, 7, 24)', 'L lightness=125.5', 'R lightness=129.5', 'selected_rect=R', 'time_solved=1700808685.0835807', 'spent=17.234702110290527', 'result=Win', 'delta lightness abs=4.0'
'time_shown=1700808685.13563', 'L RGB=(176, 86, 68)', 'R RGB=(176, 89, 95)', 'L lightness=121.99999999999999', 'R lightness=132.49999999999997', 'selected_rect=R', 'time_solved=1700808687.9974914', 'spent=2.86186146736145', 'result=Win', 'delta lightness abs=10.499999999999986'
'time_shown=1700808688.0130355', 'L RGB=(254, 129, 220)', 'R RGB=(201, 109, 170)', 'L lightness=191.5', 'R lightness=155.0', 'selected_rect=L', 'time_solved=1700808689.0040262', 'spent=0.9909906387329102', 'result=Win', 'delta lightness abs=36.5'
'time_shown=1700808689.0464783', 'L RGB=(171, 174, 223)', 'R RGB=(158, 225, 172)', 'L lightness=196.99999999999997', 'R lightness=191.5', 'selected_rect=R', 'time_solved=1700808690.6077833', 'spent=1.561305046081543', 'result=Loss', 'delta lightness abs=5.499999999999972'
'time_shown=1700808690.634646', 'L RGB=(206, 73, 237)', 'R RGB=(205, 60, 237)', 'L lightness=155.00000000000003', 'R lightness=148.5', 'selected_rect=L', 'time_solved=1700808708.053119', 'spent=17.4184730052948', 'result=Win', 'delta lightness abs=6.500000000000028'
'time_shown=1700808708.0871727', 'L RGB=(166, 89, 15)', 'R RGB=(201, 130, 20)', 'L lightness=90.5', 'R lightness=110.5', 'selected_rect=R', 'time_solved=1700808709.083332', 'spent=0.9961593151092529', 'result=Win', 'delta lightness abs=20.0'
'time_shown=1700808709.1338801', 'L RGB=(30, 25, 49)', 'R RGB=(55, 38, 49)', 'L lightness=37.0', 'R lightness=46.50000000000001', 'selected_rect=R', 'time_solved=1700808712.4110587', 'spent=3.2771785259246826', 'result=Win', 'delta lightness abs=9.500000000000007'
'time_shown=1700808712.4447546', 'L RGB=(202, 241, 124)', 'R RGB=(201, 249, 124)', 'L lightness=182.5', 'R lightness=186.5', 'selected_rect=R', 'time_solved=1700808715.1205199', 'spent=2.6757652759552', 'result=Win', 'delta lightness abs=4.0'
'time_shown=1700808715.1479816', 'L RGB=(122, 23, 206)', 'R RGB=(114, 22, 201)', 'L lightness=114.5', 'R lightness=111.5', 'selected_rect=L', 'time_solved=1700808718.1847944', 'spent=3.0368127822875977', 'result=Win', 'delta lightness abs=3.0'
'time_shown=1700808718.210689', 'L RGB=(3, 41, 13)', 'R RGB=(0, 24, 2)', 'L lightness=22.0', 'R lightness=12.0', 'selected_rect=L', 'time_solved=1700808719.1979082', 'spent=0.9872190952301025', 'result=Win', 'delta lightness abs=10.0'
'time_shown=1700808719.2616947', 'L RGB=(116, 166, 241)', 'R RGB=(101, 126, 241)', 'L lightness=178.5', 'R lightness=171.0', 'selected_rect=L', 'time_solved=1700808720.0867095', 'spent=0.8250148296356201', 'result=Win', 'delta lightness abs=7.5'
'time_shown=1700808720.1150937', 'L RGB=(136, 173, 236)', 'R RGB=(126, 172, 190)', 'L lightness=186.00000000000003', 'R lightness=158.0', 'selected_rect=L', 'time_solved=1700808723.3949788', 'spent=3.2798850536346436', 'result=Win', 'delta lightness abs=28.00000000000003'
'time_shown=1700808723.4214258', 'L RGB=(176, 169, 205)', 'R RGB=(179, 176, 243)', 'L lightness=187.00000000000003', 'R lightness=209.5', 'selected_rect=R', 'time_solved=1700808725.301148', 'spent=1.8797221183776855', 'result=Win', 'delta lightness abs=22.49999999999997'
'time_shown=1700808725.3334491', 'L RGB=(190, 67, 15)', 'R RGB=(202, 104, 21)', 'L lightness=102.5', 'R lightness=111.5', 'selected_rect=R', 'time_solved=1700808726.232603', 'spent=0.8991539478302002', 'result=Win', 'delta lightness abs=9.0'
'time_shown=1700808726.2625656', 'L RGB=(243, 166, 32)', 'R RGB=(238, 132, 31)', 'L lightness=137.5', 'R lightness=134.5', 'selected_rect=L', 'time_solved=1700808726.9532201', 'spent=0.6906545162200928', 'result=Win', 'delta lightness abs=3.0'
'time_shown=1700808726.988459', 'L RGB=(107, 227, 89)', 'R RGB=(126, 198, 127)', 'L lightness=158.0', 'R lightness=162.0', 'selected_rect=L', 'time_solved=1700808727.7421079', 'spent=0.7536487579345703', 'result=Loss', 'delta lightness abs=4.0'
'time_shown=1700808727.7743397', 'L RGB=(30, 53, 74)', 'R RGB=(54, 100, 94)', 'L lightness=52.0', 'R lightness=77.0', 'selected_rect=R', 'time_solved=1700808742.3671246', 'spent=14.592784881591797', 'result=Win', 'delta lightness abs=25.0'
'time_shown=1700808742.3976943', 'L RGB=(194, 28, 51)', 'R RGB=(219, 58, 52)', 'L lightness=111.0', 'R lightness=135.5', 'selected_rect=R', 'time_solved=1700808743.2699738', 'spent=0.8722794055938721', 'result=Win', 'delta lightness abs=24.5'
